preschool,address,city,state,zip,provider_type,license_number,license_status_in_cdss_2025_export,licensed_capacity,phone,license_first_date,elfa_network_member,preschool_screening_rating,rating_basis,rating_limitations,address_source,cdss_facility_detail_url,cdss_dataset_url,elfa_directory_url,cdss_export_data_date,elfa_directory_access_date,latitude,longitude,geocode_matched_address,geocode_match_method,geocode_source,geocode_data_as_of
1st Place 2 Start,1252 Sunnydale Ave,San Francisco,CA,94134,DAY CARE CENTER,384001195,LICENSED,27,(415) 333-2659,9/23/2003,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384001195,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7113328,-122.4135254,1252 SUNNYDALE AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Alpha Kids Academy,175 Junipero Serra Blvd,San Francisco,CA,94127,DAY CARE CENTER,384002291,LICENSED,53,(650) 867-1917,3/7/2013,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002291,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7321697,-122.4711519,175 JUNIPERO SERRA BLVD,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Alpha Kids Academy,300 Stonecrest Dr,San Francisco,CA,94132,DAY CARE CENTER,384002496,LICENSED,30,(415) 999-2208,6/18/2015,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002496,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7248234,-122.4738519,300 STONECREST DR,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Associated Students Children's Center -SFSU,1650 Holloway Ave,San Francisco,CA,94132,DAY CARE CENTER,380504942,LICENSED,60,(415) 338-2403,4/9/1987,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504942,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7222744,-122.4784223,1650 HOLLOWAY AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Banana Fana Preschool,2701 Folsom St,San Francisco,CA,94110,DAY CARE CENTER,384004477,LICENSED,50,(415) 583-6450,12/3/2021,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004477,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7539815,-122.4139181,2701 FOLSOM ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Bright Horizons - Kirkham St,10 Kirkham St,San Francisco,CA,94143,DAY CARE CENTER,384002350,LICENSED,93,(415) 596-5160,2/1/2013,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002350,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7606521,-122.4611067,10 KIRKHAM ST,Exact DataSF address; source ZIP differs,DataSF Enterprise Addressing System,2026-09-21
Bright Horizons - Little Trailblazers,50 Fremont St,San Francisco,CA,94105,DAY CARE CENTER,384002794,LICENSED,84,(628) 900-9495,8/10/2017,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002794,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7903044,-122.3973651,50 FREMONT ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Bright Horizons - Mission Bay,727 Nelson Rising Ln,San Francisco,CA,94158,DAY CARE CENTER,384003047,LICENSED,206,(415) 596-5160,5/7/2018,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384003047,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7694403,-122.3933028,727 NELSON RISING LN,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Buen Dia Family School,589 Guerrero St,San Francisco,CA,94110,DAY CARE CENTER,380504038,LICENSED,30,(415) 431-3535,8/10/1982,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504038,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7619338,-122.4234529,589 GUERRERO ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
C5 Children's School - C5 Children's School (City Building),525 Golden Gate Ave,San Francisco,CA,94102,DAY CARE CENTER,384002299,LICENSED,45,(415) 626-4880,10/26/2012,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002299,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7811107,-122.418926,525 GOLDEN GATE AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
