"school","address","public_vs_private","school_type","greatschools_rating","greatschools_rating_as_of","greatschools_profile_url","private_staffing_proxy_rating","private_staffing_proxy_basis","rating_notes","cds_code","latitude","longitude","geocode_matched_address","geocode_match_method","geocode_source","geocode_data_as_of"
"Academy (The)- SF @McAteer","555 Portola Dr., San Francisco, CA 94131","Public","High School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/25079-Academy-Of-Arts-And-Sciences/","","","Current GreatSchools rating retrieved 2026-09-22","38684780119958","37.7453842","-122.4496488","555 PORTOLA DR","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Alamo Elementary","250 23rd Ave., San Francisco, CA 94121","Public","Elementary School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6335-Alamo-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040695","37.7830834","-122.4825783","250 23RD AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Alvarado Elementary","625 Douglas St., San Francisco, CA 94114","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6336-Alvarado-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040703","37.7537507","-122.4385858","625 DOUGLASS ST","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
"Aptos Middle","105 Aptos Ave., San Francisco, CA 94127","Public","Middle School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/6337-Aptos-Middle-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786062020","37.7297656","-122.4662595","105 APTOS AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Argonne Elementary","680 18th Ave., San Francisco, CA 94121","Public","Elementary School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6338-Argonne-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040737","37.7753944","-122.4766192","680 18TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Asawa (Ruth) SF Sch of the Arts, A Public School","555 Portola Dr., San Francisco, CA 94131","Public","High School","10","2026-09-22","https://www.greatschools.org/california/san-francisco/6339-Asawa-Ruth-San-Francisco-School-Of-The-Arts-A-Public-School./","","","Current GreatSchools rating retrieved 2026-09-22","38684783830387","37.7453842","-122.4496488","555 PORTOLA DR","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Balboa High","1000 Cayuga Ave., San Francisco, CA 94112","Public","High School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6340-Balboa-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783830288","37.7220001","-122.4404121","1000 CAYUGA AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Brown Jr. (Willie L) Middle","2055 Silver Ave., San Francisco, CA 94122","Public","Middle School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/32187-Brown-Jr.-Willie-L-Middle/","","","Current GreatSchools rating retrieved 2026-09-22","38684780132241","37.7364068","-122.3988863","2055 SILVER AVE","Exact DataSF address; source ZIP differs","DataSF Enterprise Addressing System","2026-09-21"
"Bryant Elementary","2641 25th St., San Francisco, CA 94110","Public","Elementary School","4","2026-09-22","https://www.greatschools.org/california/san-francisco/6341-Bryant-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040778","37.7517008","-122.4049502","2641 25TH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Buena Vista/ Horace Mann K-8","3351 23rd St., San Francisco, CA 94110","Public","Elementary School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/6399-Buena-Vista--Horace-Mann-K-8/","","","Current GreatSchools rating retrieved 2026-09-22","38684786062046","37.7535681","-122.4202769","3351 23RD ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
