X,Y,OBJECTID,Status,Score,Match_addr,ShortLabel,USER_Year,USER_County,USER_District,USER_CDS2,USER_Name,USER_Street,USER_City,USER_State,USER_Zip,USER_Type,USER_Accommodations,USER_Classification,USER_LowGrade,USER_HighGrade,USER_EnrollK,USER_Enroll1,USER_Enroll2,USER_Enroll3,USER_Enroll4,USER_Enroll5,USER_Enroll6,USER_Enroll7,USER_Enroll8,USER_Enroll9,USER_Enroll10,USER_Enroll11,USER_Enroll12,USER_TotalEnroll,USER_PrevYearGrads,USER_FullTimeTeach,USER_PartTimeTeach,USER_Administrators,USER_OtherStaff,USER_TaxExempt,USER_CDS,USER_EnrollK5,USER_Enroll68,USER_Enroll912,COUNTY_NAM,CO_TEST,CO_TEST_Note
-13609377.7871,4546409.2122,1,M,100,"1011 Chestnut St, Alameda, California, 94501",1011 Chestnut St,2024-25,Alameda,Alameda Unified,A01611196933154,Saint Joseph Notre Dame High School,1011 Chestnut Street,Alameda,CA,94501,Coeducational,Day Only,Catholic,Ninth Grade,Twelfth Grade,0,0,0,0,0,0,0,0,0,111,95,107,82,395,98,35,5,5,31,Yes,01611196933154,0,0,395,Alameda,1,
-13607485.6347,4546924.8554,2,M,100,"1828 Park St, Alameda, California, 94501",1828 Park St,2024-25,Alameda,Alameda Unified,A01611196165120,EnCompass Four Corners School,1828 Park Street,Alameda,CA,94501,Coeducational,Day Only,Other,Kindergarten,Eighth Grade ,0,0,0,2,4,4,2,0,0,0,0,0,0,12,0,1,0,1,5,No,01611196165120,10,2,0,Alameda,1,
-13609339.0927,4546405.7067,3,M,100,"1910 San Antonio Ave, Alameda, California, 94501",1910 San Antonio Ave,2024-25,Alameda,Alameda Unified,A01611196965891,St. Joseph Elementary,1910 San Antonio Avenue,Alameda,CA,94501,Coeducational,Day Only,Catholic,Kindergarten,Eighth Grade ,23,26,30,31,33,26,35,34,32,0,0,0,0,270,0,13,3,2,6,Yes,01611196965891,169,101,0,Alameda,1,
-13607528.8452,4541003.8575,4,M,100,"1801 N Loop Rd, Alameda, California, 94502",1801 N Loop Rd,2024-25,Alameda,Alameda Unified,A01611196204697,Coastline Christian Schools,1801 North Loop Road,Alameda,CA,94502,Coeducational,Day Only,Nondenominational,Kindergarten,Eighth Grade ,17,24,40,35,34,39,30,30,29,0,0,0,0,278,41,23,2,3,17,Yes,01611196204697,189,89,0,Alameda,1,
-13609167.0068,4546778.3179,5,M,100,"1910 Central Ave, Alameda, California, 94501",1910 Central Ave,2024-25,Alameda,Alameda Unified,A01611196979140,The Phillips Academy,1910 Central Avenue,Alameda,CA,94501,Coeducational,Day Only,Non-Religious,Sixth Grade,Eleventh Grade,0,0,0,0,0,0,5,10,8,7,11,13,14,68,6,9,1,4,29,Yes,01611196979140,0,23,45,Alameda,1,
-13606961.9776,4545203.6519,6,M,100,"1335 High St, Alameda, California, 94501",1335 High St,2024-25,Alameda,Alameda Unified,A01611196973077,St. Philip Neri Elementary,1335 High Street,Alameda,CA,94501,Coeducational,Day Only,Catholic,Kindergarten,Eighth Grade ,20,22,19,24,21,28,23,35,30,0,0,0,0,222,0,15,5,1,14,Yes,01611196973077,134,88,0,Alameda,1,
-13613812.0024,4563994.4738,7,M,98.48,"1231 Solano Ave, Albany, California, 94706",1231 Solano Ave,2024-25,Alameda,Albany City Unified,A01611276138044,Tilden Preparatory School,1231 Solano Avenue,Albany,CA,94706,Coeducational,Day Only,Non-Religious,Sixth Grade,Twelfth Grade,0,0,0,0,0,0,4,4,8,18,32,42,52,160,21,20,18,17,0,No,01611276138044,0,16,144,Alameda,1,
-13611228.2779,4561923.9742,8,M,99.24,"1940 Virginia St, Berkeley, California, 94709",1940 Virginia St,2024-25,Alameda,Berkeley Unified,A01611430117002,Bayhill High,1940 Virginia Street,Berkeley,CA,94709,Coeducational,Day Only,Non-Religious,Ninth Grade,Twelfth Grade,0,0,0,0,0,0,0,0,0,16,19,13,17,65,16,12,1,4,4,Yes,01611430117002,0,0,65,Alameda,1,
-13608506.0298,4546071.9106,9,M,97.04,"2226 Encinal Ave, Alameda, California, 94501",2226 Encinal Ave,2024-25,Alameda,Alameda Unified,A01611196141683,The Child Unique Montessori School/Montessori Elementary School of Alameda,2226 Encinal Avenue And 1400 6Th Street,Alameda,CA,94501,Coeducational,Day Only,Non-Religious,Kindergarten,Sixth Grade,5,2,2,2,2,1,1,0,0,0,0,0,0,15,0,1,1,1,1,No,01611196141683,14,1,0,Alameda,1,
-13614178.4373,4560837.8359,10,M,99.24,"811 University Ave, Suite 100, Berkeley, California, 94710","811 University Ave, Suite 100",2024-25,Alameda,Berkeley Unified,A01611436138291,Fusion Academy Berkeley,"811 University Ave, Ste. 100",Berkeley,CA,94710,Coeducational,Day Only,Non-Religious,Sixth Grade,Twelfth Grade,0,0,0,0,0,0,0,3,6,6,6,7,9,37,8,12,5,5,0,No,01611436138291,0,9,28,Alameda,1,
-13611916.3978,4560936.8316,11,M,99.24,"2125 Jefferson Ave, Berkeley, California, 94703",2125 Jefferson Ave,2024-25,Alameda,Berkeley Unified,A01611436139620,Shu Ren International School,2125 Jefferson Avenue,Berkeley,CA,94703,Coeducational,Day Only,Non-Religious,Kindergarten,Fifth Grade,5,12,14,9,6,8,0,0,0,0,0,0,0,54,0,14,4,6,1,No,01611436139620,54,0,0,Alameda,1,
-13613189.2535,4558855.3719,12,M,98.48,"1009 Heinz Ave, Berkeley, California, 94710",1009 Heinz Ave,2024-25,Alameda,Berkeley Unified,A01611436900757,Ecole Bilingue De Berkeley,1009 Heinz Avenue,Berkeley,CA,94710,Coeducational,Day Only,Non-Religious,Kindergarten,Eighth Grade ,48,43,41,42,31,25,41,31,29,0,0,0,0,331,0,35,10,12,36,Yes,01611436900757,230,101,0,Alameda,1,
-13609455.857,4560358.9985,13,M,98.48,"2515 Hillegass Ave, Berkeley, California, 94704",2515 Hillegass Ave,2024-25,Alameda,Berkeley Unified,A01611436172100,Emerge Berkeley Christian Academy,2515 Hillegass Ave,Berkeley,CA,94704,Coeducational,Day Only,Nondenominational,Kindergarten,Twelfth Grade,0,7,8,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,No,01611436172100,15,0,0,Alameda,1,
-13609109.1844,4559816.6646,14,M,98.48,"2727 College Ave, Berkeley, California, 94705",2727 College Ave,2024-25,Alameda,Berkeley Unified,A01611436932990,Maybeck High School,2727 College Avenue,Berkeley,CA,94705,Coeducational,Day Only,Non-Religious,Ninth Grade,Twelfth Grade,0,0,0,0,0,0,0,0,0,27,24,30,30,111,30,11,3,11,0,Yes,01611436932990,0,0,111,Alameda,1,
-13609134.8158,4555295.6328,15,M,98.48,"215 Ridgeway Ave, Oakland, California, 94611",215 Ridgeway Ave,2024-25,Alameda,Oakland Unified,A01611436142236,Berkeley Rose Waldorf School,215 Ridgeway Avenue,Oakland,CA,94611,Coeducational,Day Only,Non-Religious,Kindergarten,Eighth Grade ,30,15,12,9,13,14,0,4,8,0,0,0,0,105,0,18,10,6,0,Yes,01611436142236,93,12,0,Alameda,1,
-13612536.8702,4562380.1807,16,M,98.48,"1475 Rose St, Berkeley, California, 94702",1475 Rose St,2024-25,Alameda,Berkeley Unified,A01611436928766,The Crowden School,1475 Rose Street,Berkeley,CA,94702,Coeducational,Day Only,Non-Religious,Third Grade,Eighth Grade ,0,0,0,2,3,13,15,7,8,0,0,0,0,48,0,4,20,9,3,Yes,01611436928766,18,30,0,Alameda,1,
