OBJECTID,Academic Year,Fed ID,CDS Code,District Code,School Code,Region,County Name,District Name,School Name,School Type,Status,Open Date,Closed Date,School Level,Grade Low,Grade High,Charter,Charter Num,Charter Funding Type,Virtual,Magnet,Title I,DASS,Assistance Status ESSA,Street,City,Zip,State,Locale,School Website,Enroll Total,African American,African American (%),American Indian,American Indian (%),Asian,Asian (%),Filipino,Filipino (%),Hispanic,Hispanic (%),Pacific Islander,Pacific Islander (%),White,White (%),Two or More Races,Two or More Races (%),Not Reported,Not Reported (%),English Learner,English Learner (%),Foster,Foster (%),Homeless,Homeless (%),Migrant,Migrant (%),Socioeconomically Disadvantaged,Socioeconomically Disadvantaged (%),Students with Disabilities,Students with Disabilities (%),Free/Reduced Meal Eligible,Free/Reduced Meal Eligible (%),Grade TK,Grade KG,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Latitude,Longitude,Geographic County Code,Geographic County Name,Geographic Elementary District Code,Geographic Elementary District Name,Geographic High District Code,Geographic High District Name,Geographic Unified District Code,Geographic Unified District Name,US Congressional District,CA State Senate District,CA State Assembly District,Staff Total,Staff Teacher,Staff Admin,Staff Pupil Services,Staff Other,x,y
10034,2025-26,060161410947,01100170112607,0110017,0112607,04,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,K-12,Active,8/28/2006 12:00:00 AM,,Elem-High Combo,06,12,Y,0811,Directly funded,N,N,Y,N,No Status,1515 Webster St.,Oakland,94612,CA,"11 - City, Large",http://www.envisionacademy.org/,171,85,49.7,2,1.2,1,0.6,0,0,57,33.3,2,1.2,9,5.3,15,8.8,0,0,18,10.5,3,1.8,6,3.5,0,0,125,73.1,37,21.6,120,70.2,0,0,0,0,0,0,0,15,22,24,25,23,23,39,37.80467596,-122.2683662,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,22,19,5,0,0,-13610852.2655,4551869.7043
10035,2025-26,060169112844,01100170123968,0110017,0123968,04,Alameda,Alameda County Office of Education,Community School for Creative Education,Elementary,Active,8/22/2011 12:00:00 AM,,Elementary,KG,08,Y,1284,Directly funded,N,N,Y,N,No Status,2111 International Blvd.,Oakland,94606,CA,"11 - City, Large",http://www.communityschoolforcreativeeducation.org,165,20,12.1,1,0.6,8,4.8,1,0.6,130,78.8,0,0,2,1.2,2,1.2,1,0.6,94,57,0,0,0,0,0,0,155,93.9,32,19.4,154,93.3,10,12,16,13,11,17,26,22,16,22,0,0,0,0,37.78489996,-122.23880019,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,8,8,1,0,0,-13607560.9923,4549083.7966
10036,2025-26,060201312901,01100170124172,0110017,0124172,04,Alameda,Alameda County Office of Education,Yu Ming Charter,Elementary,Active,8/9/2011 12:00:00 AM,,Elementary,KG,08,Y,1296,Directly funded,N,N,Y,N,No Status,2501 Chestnut St.,Oakland,94607,CA,"11 - City, Large",http://www.yumingschool.org,1059,94,8.9,2,0.2,548,51.7,32,3,99,9.3,0,0,51,4.8,232,21.9,1,0.1,178,16.8,1,0.1,0,0,0,0,357,33.7,66,6.2,351,33.1,20,168,168,164,153,132,72,62,61,59,0,0,0,0,37.818054,-122.28211901,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,64,53,10,1,1,-13612383.2214,4553754.7342
10037,2025-26,069105109264,01100170130401,0110017,0130401,04,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Juvenile Court,Active,7/1/1980 12:00:00 AM,,High,KG,12,N,,,N,N,Y,Y,CSI Grad,2500 Fairmont Ave.,San Leandro,94578,CA,"21 - Suburban, Large",http://www.acoe.org,29,18,62.1,0,0,0,0,0,0,9,31,0,0,1,3.4,1,3.4,0,0,5,17.2,3,10.3,9,31,0,0,29,100,14,48.3,20,69,0,0,0,0,0,0,0,0,0,1,7,5,8,8,37.71595596,-122.11823716,01,Alameda,,,,,0161309,San Lorenzo Unified,10,09,20,15,6,3,3,3,-13594139.9772,4539377.2611
10038,2025-26,069105106830,01100170130419,0110017,0130419,04,Alameda,Alameda County Office of Education,Alameda County Community,County Community,Active,7/1/1980 12:00:00 AM,,High,KG,12,N,,,C,N,Y,Y,No Status,313 West Winton Ave.,Hayward,94544,CA,"21 - Suburban, Large",http://www.acoe.org,89,20,22.5,2,2.2,1,1.1,1,1.1,61,68.5,2,2.2,1,1.1,0,0,1,1.1,43,48.3,6,6.7,10,11.2,0,0,74,83.1,21,23.6,71,79.8,0,0,0,0,0,0,0,0,0,5,36,23,11,14,37.65848196,-122.09834715,01,Alameda,,,,,0161192,Hayward Unified,14,10,20,14,7,3,1,4,-13591925.8314,4531292.4734
10039,2025-26,060163508674,01100170130625,0110017,0130625,04,Alameda,Alameda County Office of Education,Alternatives in Action,High,Active,9/4/2001 12:00:00 AM,,High,09,12,Y,0398,Directly funded,N,N,Y,N,No Status,6221 East 17th St.,Oakland,94621,CA,"11 - City, Large",http://www.alternativesinaction.org,86,8,9.3,0,0,0,0,0,0,76,88.4,0,0,0,0,1,1.2,1,1.2,47,54.7,0,0,0,0,0,0,86,100,30,34.9,85,98.8,0,0,0,0,0,0,0,0,0,0,15,23,21,27,37.76445496,-122.19543518,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,8,8,0,0,0,-13602733.6215,4546204.4283
10040,2025-26,060234613887,01100170131581,0110017,0131581,04,Alameda,Alameda County Office of Education,Oakland Unity Middle,Middle,Active,8/23/2015 12:00:00 AM,,Middle,06,08,Y,1707,Directly funded,N,N,Y,N,No Status,1180 70th Ave.,Oakland,94621,CA,"11 - City, Large",http://www.unitymiddle.org,146,11,7.5,0,0,0,0,0,0,115,78.8,2,1.4,17,11.6,1,0.7,0,0,55,37.7,0,0,0,0,0,0,132,90.4,27,18.5,123,84.2,0,0,0,0,0,0,0,46,49,51,0,0,0,0,37.75920496,-122.19076218,01,Alameda,,,,,0161259,Oakland Unified,12,07,18,7,7,2,0,0,-13602213.4256,4545465.1739
10041,2025-26,060215914091,01100170136101,0110017,0136101,04,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,K-12,Active,8/16/2017 12:00:00 AM,,Elem-High Combo,KG,12,Y,1881,Directly funded,N,N,N,N,No Status,703 C St.,Union City,94587,CA,"21 - Suburban, Large",http://www.cweastbay.org,518,8,1.5,2,0.4,223,43.1,13,2.5,48,9.3,4,0.8,122,23.6,84,16.2,14,2.7,21,4.1,0,0,0,0,0,0,174,33.6,60,11.6,174,33.6,17,21,31,18,31,45,44,48,44,44,48,46,50,31,37.60376496,-122.02499314,01,Alameda,,,,,0161242,New Haven Unified,14,10,20,140,107,15,9,23,-13583760.1004,4523601.3227
10042,2025-26,069105114090,01100170136226,0110017,0136226,04,Alameda,Alameda County Office of Education,Opportunity Academy,County Community,Active,9/5/2017 12:00:00 AM,,High,10,12,Y,1888,Locally funded,C,N,N,Y,CSI Grad,313 West Winton Ave.,Hayward,94544,CA,"21 - Suburban, Large",http://www.acoe.org,202,66,32.7,2,1,7,3.5,1,0.5,106,52.5,3,1.5,12,5.9,5,2.5,0,0,28,13.9,7,3.5,22,10.9,0,0,98,48.5,28,13.9,98,48.5,0,0,0,0,0,0,0,0,0,0,0,33,48,121,37.65848196,-122.09834715,01,Alameda,,,,,0161192,Hayward Unified,14,10,20,14,10,2,0,0,-13591925.8314,4531292.4734
10043,2025-26,060252314443,01100170138867,0110017,0138867,04,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,Elementary,Active,8/19/2019 12:00:00 AM,,Elementary,KG,06,Y,2027,Directly funded,N,N,Y,N,No Status,166 West Harder Rd.,Hayward,94544,CA,"21 - Suburban, Large",http://www.haywardcollegiate.org,241,17,7.1,0,0,16,6.6,27,11.2,147,61,6,2.5,4,1.7,21,8.7,3,1.2,52,21.6,3,1.2,2,0.8,1,0.4,130,53.9,15,6.2,128,53.1,29,30,30,29,30,32,32,29,0,0,0,0,0,0,37.64834296,-122.08219115,01,Alameda,,,,,0161192,Hayward Unified,14,10,20,16,9,2,3,2,-13590127.3537,4529866.8841
